p,model,MAE,RMSE,sMAPE%
0.05,LSTM-lite (fast),3.4706838505371707e-06,5.490751846082276e-06,147.08030223846436
0.05,KAN,3.541589421729441e-06,5.504680302692577e-06,157.20363855361938
0.05,TCN-lite (fast),3.5649779874802334e-06,5.601643351837993e-06,156.64626359939575
0.05,Lin/Ridge,3.6654180348705268e-06,5.7652573559607845e-06,190.22350311279297
0.05,Naive(Persistence),5.029130079492461e-06,7.437010026478674e-06,144.31111812591553
0.1,LSTM-lite (fast),3.4768015666486463e-06,5.500298811966786e-06,147.96900749206543
0.1,KAN,3.542834519976168e-06,5.510429218702484e-06,157.81062841415405
0.1,TCN-lite (fast),3.571139814084745e-06,5.608216270047706e-06,156.9684863090515
0.1,Lin/Ridge,3.665419171738904e-06,5.765261903434293e-06,190.22364616394043
0.1,Naive(Persistence),4.949743924953509e-06,7.3440778578515165e-06,146.831476688385
0.2,LSTM-lite (fast),3.4922791201097425e-06,5.517726094694808e-06,149.9806046485901
0.2,KAN,3.5456002933642594e-06,5.522753326658858e-06,159.08143520355225
0.2,TCN-lite (fast),3.5874884360964643e-06,5.632803549815435e-06,157.8580617904663
0.2,Lin/Ridge,3.665423719212413e-06,5.765268724644557e-06,190.22384881973267
0.2,Naive(Persistence),4.81459210277535e-06,7.2534930950496346e-06,151.60930156707764
